order_id,order_date,customer_id,product,quantity,unit_price
O1001,2026-08-01,C001, wireless mouse ,2,799.00
O1002,2026-08-02,C002,Keyboard,1,1499.00
O1003,2026-08-02,C003,USB-C Cable,3,299.50
O1004,2026-08-03,C999,Webcam,1,2499.00
O1005,not-a-date,C001,Laptop Stand,1,1199.00
O1006,2026-08-04,C004,Monitor,0,12499.00
O1003,2026-08-02,C003,USB-C Cable,3,299.50
ORD000001,2025-12-06,C1217,Keyboard,5,1499.00
ORD000002,2025-01-26,C1805,Wireless Mouse,3,799.00
ORD000003,2025-03-06,C1805,Laptop Stand,5,1199.00
ORD000004,2025-02-05,C1849,Laptop Stand,5,1199.00
ORD000005,2025-10-28,C1221,Laptop Stand,2,1199.00
ORD000006,2025-03-17,C1807,Monitor,5,12499.00
ORD000007,2025-05-22,C1879,Wireless Mouse,2,799.00
ORD000008,2025-10-04,C1256,USB-C Cable,2,299.50
ORD000009,2025-12-05,C1887,Keyboard,1,1499.00
ORD000010,2025-01-08,C1366,USB-C Cable,2,299.50
ORD000011,2025-01-09,C1178,Monitor,3,12499.00
ORD000012,2025-03-06,C1759,Wireless Mouse,4,799.00
ORD000013,2025-02-28,C1763,USB Hub,1,899.00
ORD000014,2025-08-18,C1796,Power Bank,3,1799.00
ORD000015,2025-10-31,C1111,USB Hub,4,899.00
ORD000016,2025-04-24,C1968,USB Hub,5,899.00
ORD000017,2025-12-04,C1533,Wireless Mouse,3,799.00
ORD000018,2025-11-26,C1987,Power Bank,1,1799.00
ORD000019,2025-09-03,C1867,Wireless Mouse,4,799.00
ORD000020,2025-12-18,C1110,Headphones,4,3299.00
ORD000021,2025-02-07,C1920,Power Bank,1,1799.00
ORD000022,2025-11-08,C1151,Monitor,1,12499.00
ORD000023,2025-05-21,C1639,USB-C Cable,5,299.50
ORD000024,2025-12-31,C1332,USB Hub,4,899.00
ORD000025,2025-05-31,C1464,USB Hub,5,899.00
ORD000026,2025-02-20,C1812,Headphones,1,3299.00
ORD000027,2025-04-21,C1440,USB Hub,4,899.00
ORD000028,2025-07-31,C1347,Laptop Stand,4,1199.00
ORD000029,2025-08-01,C1747,Headphones,1,3299.00
ORD000030,2025-08-07,C1320,Monitor,3,12499.00
ORD000031,2025-03-20,C1703,Monitor,4,12499.00
ORD000032,2025-02-16,C1851,Keyboard,1,1499.00
ORD000033,2025-08-10,C1098,Keyboard,3,1499.00
ORD000034,2025-10-12,C1061,USB-C Cable,5,299.50
ORD000035,2025-10-15,C1337,USB Hub,1,899.00
ORD000036,2025-07-01,C1894,Headphones,4,3299.00
ORD000037,2025-05-28,C1614,Wireless Mouse,3,799.00
ORD000038,2025-02-23,C1591,Monitor,5,12499.00
ORD000039,2025-03-21,C1672,Laptop Stand,4,1199.00
ORD000040,2025-02-25,C1358,Laptop Stand,5,1199.00
ORD000041,2025-02-28,C1780,Monitor,3,12499.00
ORD000042,2025-08-08,C1865,Laptop Stand,5,1199.00
ORD000043,2025-01-14,C1623,USB Hub,3,899.00
ORD000044,2025-04-03,C1279,Wireless Mouse,3,799.00
ORD000045,2025-06-29,C1006,Monitor,2,12499.00
ORD000046,2025-10-17,C1673,USB-C Cable,4,299.50
ORD000047,2025-03-14,C1758,Keyboard,1,1499.00
ORD000048,2025-09-29,C1220,Keyboard,4,1499.00
ORD000049,2025-08-21,C1349,Headphones,2,3299.00
ORD000050,2025-06-09,C1738,Monitor,3,12499.00
ORD000051,2025-01-27,C1159,Keyboard,2,1499.00
ORD000052,2025-12-12,C1083,Wireless Mouse,3,799.00
ORD000053,2025-12-05,C1434,Power Bank,4,1799.00
ORD000054,2025-08-01,C1279,Power Bank,2,1799.00
ORD000055,2025-02-28,C1353,USB Hub,4,899.00
ORD000056,2025-05-26,C1694,Keyboard,5,1499.00
ORD000057,2025-09-27,C1683,Power Bank,3,1799.00
ORD000058,2025-04-23,C1404,Wireless Mouse,5,799.00
ORD000059,2025-01-04,C1209,Wireless Mouse,3,799.00
ORD000060,2025-03-12,C1782,Laptop Stand,3,1199.00
ORD000061,2025-06-17,C1122,Webcam,1,2499.00
ORD000062,2025-08-09,C1179,Power Bank,2,1799.00
ORD000063,2025-09-30,C1720,Headphones,2,3299.00
ORD000064,2025-10-14,C1853,USB Hub,3,899.00
ORD000065,2025-07-23,C1882,Keyboard,1,1499.00
ORD000066,2025-01-10,C1470,Headphones,1,3299.00
ORD000067,2025-10-22,C1439,Monitor,5,12499.00
ORD000068,2025-12-30,C1655,Headphones,4,3299.00
ORD000069,2025-02-28,C1414,Webcam,1,2499.00
ORD000070,2025-03-29,C1820,Monitor,5,12499.00
ORD000071,2025-12-20,C1941,Power Bank,3,1799.00
ORD000072,2025-08-12,C1864,Keyboard,1,1499.00
ORD000073,2025-08-12,C1603,Laptop Stand,4,1199.00
ORD000074,2025-02-10,C1405,USB Hub,3,899.00
ORD000075,2025-04-24,C1341,Monitor,2,12499.00
ORD000076,2025-09-19,C1648,Keyboard,1,1499.00
ORD000077,2025-09-19,C1198,USB Hub,3,899.00
ORD000078,2025-11-27,C1834,Monitor,2,12499.00
ORD000079,2025-02-22,C1149,Laptop Stand,3,1199.00
ORD000080,2025-03-30,C1616,Laptop Stand,2,1199.00
ORD000081,2025-04-01,C1974,Keyboard,4,1499.00
ORD000082,2025-10-16,C1778,Power Bank,5,1799.00
ORD000083,2025-12-15,C1946,Power Bank,5,1799.00
ORD000084,2025-11-18,C1323,Monitor,2,12499.00
ORD000085,2025-02-04,C1480,Power Bank,4,1799.00
ORD000086,2025-05-21,C1605,Webcam,1,2499.00
ORD000087,2025-09-17,C1075,Monitor,3,12499.00
ORD000088,2025-08-20,C1038,Power Bank,1,1799.00
ORD000089,2025-05-27,C1078,Monitor,1,12499.00
ORD000090,2025-07-16,C1473,USB Hub,5,899.00
ORD000091,2025-01-22,C1460,USB Hub,5,899.00
ORD000092,2025-06-14,C1619,Laptop Stand,4,1199.00
ORD000093,2025-03-19,C1980,USB Hub,1,899.00
ORD000094,2025-02-22,C1830,Power Bank,3,1799.00
ORD000095,2025-09-16,C1661,Keyboard,2,1499.00
ORD000096,2025-05-07,C1724,Wireless Mouse,4,799.00
ORD000097,2025-09-26,C1535,Power Bank,5,1799.00
ORD000098,2025-07-06,C1381,USB-C Cable,3,299.50
ORD000099,2025-07-29,C1793,Headphones,3,3299.00
ORD000100,2025-11-20,C1662,Wireless Mouse,3,799.00
ORD000101,2025-06-18,C1096,Keyboard,5,1499.00
ORD000102,2025-05-26,C1258,Headphones,5,3299.00
ORD000103,2025-06-20,C1083,USB-C Cable,5,299.50
ORD000104,2025-06-29,C1317,USB-C Cable,4,299.50
ORD000105,2025-11-01,C1725,USB-C Cable,1,299.50
ORD000106,2025-10-14,C1385,Webcam,3,2499.00
ORD000107,2025-12-10,C1719,USB-C Cable,5,299.50
ORD000108,2025-11-27,C1686,Keyboard,4,1499.00
ORD000109,2025-07-05,C1018,USB Hub,3,899.00
ORD000110,2025-04-03,C1973,Webcam,2,2499.00
ORD000111,2025-09-06,C1196,Monitor,2,12499.00
ORD000112,2025-03-21,C1079,USB-C Cable,3,299.50
ORD000113,2025-09-17,C1789,Keyboard,5,1499.00
ORD000114,2025-01-20,C1677,USB Hub,3,899.00
ORD000115,2025-11-02,C1385,USB-C Cable,2,299.50
ORD000116,2025-04-03,C1851,USB-C Cable,5,299.50
ORD000117,2025-08-13,C1044,USB-C Cable,4,299.50
ORD000118,2025-12-13,C1736,Monitor,2,12499.00
ORD000119,2025-11-09,C1291,Power Bank,4,1799.00
ORD000120,2025-10-01,C1244,Laptop Stand,3,1199.00
ORD000121,2025-04-10,C1376,Power Bank,5,1799.00
ORD000122,2025-08-25,C1787,Power Bank,3,1799.00
ORD000123,2025-09-15,C1540,Headphones,4,3299.00
ORD000124,2025-04-13,C1820,USB-C Cable,5,299.50
ORD000125,2025-05-09,C1053,USB-C Cable,4,299.50
ORD000126,2025-10-11,C1956,Monitor,1,12499.00
ORD000127,2025-03-05,C1291,USB Hub,1,899.00
ORD000128,2025-05-20,C1460,USB-C Cable,5,299.50
ORD000129,2025-08-12,C1093,USB-C Cable,2,299.50
ORD000130,2025-06-28,C1952,Power Bank,1,1799.00
ORD000131,2025-01-28,C1405,Headphones,5,3299.00
ORD000132,2025-05-01,C1395,Monitor,1,12499.00
ORD000133,2025-04-25,C1028,Monitor,3,12499.00
ORD000134,2025-11-29,C1343,Keyboard,2,1499.00
ORD000135,2025-01-20,C1293,USB-C Cable,4,299.50
ORD000136,2025-12-28,C1480,USB-C Cable,4,299.50
ORD000137,2025-02-10,C1019,Wireless Mouse,3,799.00
ORD000138,2025-03-18,C1561,Laptop Stand,5,1199.00
ORD000139,2025-08-05,C1113,USB Hub,3,899.00
ORD000140,2025-06-04,C1124,Laptop Stand,1,1199.00
ORD000141,2025-08-03,C1654,Laptop Stand,5,1199.00
ORD000142,2025-02-02,C1113,Power Bank,4,1799.00
ORD000143,2025-01-09,C1647,USB Hub,5,899.00
ORD000144,2025-03-15,C1298,Laptop Stand,4,1199.00
ORD000145,2025-11-11,C1361,Wireless Mouse,2,799.00
ORD000146,2025-04-06,C1680,Headphones,1,3299.00
ORD000147,2025-07-04,C1069,USB Hub,5,899.00
ORD000148,2025-09-17,C1805,USB Hub,5,899.00
ORD000149,2025-01-11,C1399,USB Hub,4,899.00
ORD000150,2025-11-22,C1396,Wireless Mouse,3,799.00
ORD000151,2025-01-09,C1365,Webcam,1,2499.00
ORD000152,2025-05-04,C1750,Monitor,1,12499.00
ORD000153,2025-03-10,C1045,Monitor,3,12499.00
ORD000154,2025-06-23,C1833,USB Hub,2,899.00
ORD000155,2025-12-23,C1490,Power Bank,2,1799.00
ORD000156,2025-02-02,C1733,USB-C Cable,4,299.50
ORD000157,2025-05-31,C1206,Wireless Mouse,1,799.00
ORD000158,2025-01-22,C1323,Laptop Stand,3,1199.00
ORD000159,2025-07-23,C1834,USB Hub,5,899.00
ORD000160,2025-05-10,C1037,Power Bank,2,1799.00
ORD000161,2025-07-02,C1882,Webcam,1,2499.00
ORD000162,2025-05-20,C1127,Monitor,3,12499.00
ORD000163,2025-07-24,C1761,Headphones,4,3299.00
ORD000164,2025-06-23,C1997,Headphones,2,3299.00
ORD000165,2025-12-21,C1509,Power Bank,3,1799.00
ORD000166,2025-05-17,C1820,USB Hub,1,899.00
ORD000167,2025-02-10,C1440,Headphones,5,3299.00
ORD000168,2025-10-07,C1300,USB-C Cable,3,299.50
ORD000169,2025-02-10,C1335,Keyboard,3,1499.00
ORD000170,2025-08-17,C1617,Webcam,4,2499.00
ORD000171,2025-12-20,C1454,USB-C Cable,3,299.50
ORD000172,2025-01-22,C1744,Power Bank,3,1799.00
ORD000173,2025-05-21,C1654,Headphones,1,3299.00
ORD000174,2025-12-10,C1652,Keyboard,4,1499.00
ORD000175,2025-09-20,C1820,Monitor,2,12499.00
ORD000176,2025-03-15,C1869,Wireless Mouse,5,799.00
ORD000177,2025-01-18,C1129,Power Bank,1,1799.00
ORD000178,2025-11-27,C1375,Laptop Stand,3,1199.00
ORD000179,2025-10-18,C1033,Headphones,5,3299.00
ORD000180,2025-12-14,C1460,USB-C Cable,3,299.50
ORD000181,2025-08-16,C1781,Monitor,1,12499.00
ORD000182,2025-09-29,C1375,USB-C Cable,4,299.50
ORD000183,2025-11-29,C1285,Monitor,2,12499.00
ORD000184,2025-01-14,C1753,Keyboard,2,1499.00
ORD000185,2025-09-23,C1396,Power Bank,5,1799.00
ORD000186,2025-05-15,C1793,Keyboard,3,1499.00
ORD000187,2025-04-20,C1626,Power Bank,3,1799.00
ORD000188,2025-04-13,C1125,Power Bank,2,1799.00
ORD000189,2025-08-20,C1176,Keyboard,4,1499.00
ORD000190,2025-12-16,C1990,Keyboard,3,1499.00
ORD000191,2025-12-30,C1066,Monitor,5,12499.00
ORD000192,2025-05-29,C1912,USB Hub,3,899.00
ORD000193,2025-12-31,C1726,USB-C Cable,2,299.50
ORD000194,2025-09-18,C1229,Monitor,1,12499.00
ORD000195,2025-03-13,C1242,Laptop Stand,4,1199.00
ORD000196,2025-07-04,C1567,Wireless Mouse,5,799.00
ORD000197,2025-08-28,C1822,Monitor,5,12499.00
ORD000198,2025-11-10,C1905,USB-C Cable,1,299.50
ORD000199,2025-06-08,C1407,Keyboard,4,1499.00
ORD000200,2025-07-30,C1787,USB Hub,4,899.00
ORD000201,2025-03-06,C1995,Keyboard,3,1499.00
ORD000202,2025-08-19,C1477,Keyboard,5,1499.00
ORD000203,2025-03-07,C1899,Monitor,5,12499.00
ORD000204,2025-03-08,C1443,USB-C Cable,5,299.50
ORD000205,2025-03-05,C1530,Wireless Mouse,2,799.00
ORD000206,2025-03-26,C1165,Webcam,3,2499.00
ORD000207,2025-06-27,C1970,Laptop Stand,5,1199.00
ORD000208,2025-02-10,C1256,Webcam,2,2499.00
ORD000209,2025-05-21,C1128,USB Hub,3,899.00
ORD000210,2025-02-17,C1514,USB Hub,2,899.00
ORD000211,2025-03-29,C1674,USB-C Cable,5,299.50
ORD000212,2025-10-16,C1042,Monitor,1,12499.00
ORD000213,2025-01-24,C1971,Keyboard,5,1499.00
ORD000214,2025-11-30,C1215,Webcam,5,2499.00
ORD000215,2025-11-13,C1654,Headphones,1,3299.00
ORD000216,2025-11-18,C1558,Power Bank,3,1799.00
ORD000217,2025-09-05,C1250,Webcam,4,2499.00
ORD000218,2025-08-21,C1074,Webcam,1,2499.00
ORD000219,2025-08-14,C1425,USB-C Cable,4,299.50
ORD000220,2025-04-15,C1348,Power Bank,5,1799.00
ORD000221,2025-06-10,C1882,USB-C Cable,3,299.50
ORD000222,2025-07-24,C1133,Monitor,3,12499.00
ORD000223,2025-10-15,C1108,USB Hub,3,899.00
ORD000224,2025-08-27,C1125,Laptop Stand,3,1199.00
ORD000225,2025-05-07,C1144,Power Bank,1,1799.00
ORD000226,2025-05-29,C1968,Wireless Mouse,4,799.00
ORD000227,2025-05-08,C1985,Headphones,2,3299.00
ORD000228,2025-10-23,C1738,Monitor,3,12499.00
ORD000229,2025-03-23,C1510,Laptop Stand,5,1199.00
ORD000230,2025-09-13,C1900,Power Bank,3,1799.00
ORD000231,2025-01-12,C1092,Power Bank,4,1799.00
ORD000232,2025-08-23,C1989,USB Hub,2,899.00
ORD000233,2025-10-26,C1361,Laptop Stand,1,1199.00
ORD000234,2025-05-25,C1506,Wireless Mouse,5,799.00
ORD000235,2025-05-27,C1549,Power Bank,1,1799.00
ORD000236,2025-08-09,C1137,Keyboard,3,1499.00
ORD000237,2025-07-26,C1374,Monitor,1,12499.00
ORD000238,2025-01-27,C1583,Headphones,5,3299.00
ORD000239,2025-07-05,C1566,Laptop Stand,3,1199.00
ORD000240,2025-07-17,C1516,Keyboard,4,1499.00
ORD000241,2025-05-24,C1845,USB Hub,5,899.00
ORD000242,2025-03-07,C1998,Keyboard,1,1499.00
ORD000243,2025-07-11,C1813,Headphones,3,3299.00
ORD000244,2025-07-07,C1773,USB Hub,2,899.00
ORD000245,2025-11-05,C1521,Laptop Stand,4,1199.00
ORD000246,2025-01-21,C1046,USB Hub,1,899.00
ORD000247,2025-06-20,C1823,USB-C Cable,4,299.50
ORD000248,2025-08-22,C1152,USB Hub,5,899.00
ORD000249,2025-03-13,C1335,USB Hub,5,899.00
ORD000250,2025-03-25,C1402,Monitor,5,12499.00
ORD000251,2025-10-31,C1344,Webcam,5,2499.00
ORD000252,2025-09-30,C1501,USB Hub,5,899.00
ORD000253,2025-09-01,C1835,Webcam,1,2499.00
ORD000254,2025-06-19,C1689,Monitor,1,12499.00
ORD000255,2025-10-26,C1315,Headphones,1,3299.00
ORD000256,2025-05-16,C1990,Power Bank,5,1799.00
ORD000257,2025-01-27,C1597,Laptop Stand,4,1199.00
ORD000258,2025-09-26,C1644,USB-C Cable,5,299.50
ORD000259,2025-03-17,C1841,Headphones,2,3299.00
ORD000260,2025-10-21,C1970,Wireless Mouse,1,799.00
ORD000261,2025-01-10,C1451,Laptop Stand,3,1199.00
ORD000262,2025-03-19,C1422,Headphones,2,3299.00
ORD000263,2025-09-14,C1793,Headphones,5,3299.00
ORD000264,2025-02-01,C1722,Power Bank,2,1799.00
ORD000265,2025-04-17,C1574,USB Hub,3,899.00
ORD000266,2025-09-27,C1385,Power Bank,3,1799.00
ORD000267,2025-08-24,C1934,USB-C Cable,5,299.50
ORD000268,2025-10-07,C1362,Monitor,3,12499.00
ORD000269,2025-04-09,C1980,Power Bank,2,1799.00
ORD000270,2025-10-13,C1305,Webcam,2,2499.00
ORD000271,2025-05-28,C1721,Webcam,2,2499.00
ORD000272,2025-06-12,C1491,Power Bank,3,1799.00
ORD000273,2025-05-21,C1294,USB Hub,1,899.00
ORD000274,2025-07-14,C1917,USB Hub,4,899.00
ORD000275,2025-03-16,C1297,Monitor,1,12499.00
ORD000276,2025-02-10,C1354,Webcam,4,2499.00
ORD000277,2025-09-03,C1219,Webcam,2,2499.00
ORD000278,2025-05-19,C1955,USB Hub,5,899.00
ORD000279,2025-03-12,C1111,Webcam,5,2499.00
ORD000280,2025-05-05,C1051,Laptop Stand,5,1199.00
ORD000281,2025-11-23,C1238,Laptop Stand,1,1199.00
ORD000282,2025-07-31,C1338,Keyboard,4,1499.00
ORD000283,2025-12-15,C1789,Keyboard,2,1499.00
ORD000284,2025-10-09,C1951,Wireless Mouse,2,799.00
ORD000285,2025-12-01,C1957,Headphones,4,3299.00
ORD000286,2025-11-30,C1204,Power Bank,3,1799.00
ORD000287,2025-05-27,C1661,Monitor,1,12499.00
ORD000288,2025-11-30,C1587,Keyboard,2,1499.00
ORD000289,2025-01-20,C1935,USB Hub,2,899.00
ORD000290,2025-04-01,C1956,Headphones,1,3299.00
ORD000291,2025-09-11,C1190,Headphones,3,3299.00
ORD000292,2025-01-05,C1305,Wireless Mouse,5,799.00
ORD000293,2025-06-21,C1291,Keyboard,4,1499.00
ORD000294,2025-09-26,C1505,USB Hub,2,899.00
ORD000295,2025-08-28,C1279,USB Hub,2,899.00
ORD000296,2025-06-19,C1166,Keyboard,4,1499.00
ORD000297,2025-04-06,C1014,Webcam,3,2499.00
ORD000298,2025-10-18,C1690,Webcam,2,2499.00
ORD000299,2025-11-09,C1876,USB-C Cable,4,299.50
ORD000300,2025-09-21,C1335,Headphones,1,3299.00
ORD000301,2025-12-09,C1097,Headphones,2,3299.00
ORD000302,2025-09-02,C1331,USB-C Cable,2,299.50
ORD000303,2025-05-14,C1392,Wireless Mouse,2,799.00
ORD000304,2025-05-17,C1976,Power Bank,3,1799.00
ORD000305,2025-10-26,C1740,Webcam,5,2499.00
ORD000306,2025-05-14,C1669,Wireless Mouse,3,799.00
ORD000307,2025-02-01,C1683,Laptop Stand,1,1199.00
ORD000308,2025-06-07,C1163,Power Bank,4,1799.00
ORD000309,2025-12-27,C1788,USB Hub,3,899.00
ORD000310,2025-11-24,C1938,Keyboard,3,1499.00
ORD000311,2025-11-11,C1226,Monitor,2,12499.00
ORD000312,2025-09-02,C1156,USB-C Cable,4,299.50
ORD000313,2025-08-01,C1718,Monitor,5,12499.00
ORD000314,2025-10-03,C1821,Power Bank,2,1799.00
ORD000315,2025-12-15,C1772,Laptop Stand,5,1199.00
ORD000316,2025-09-27,C1457,Keyboard,5,1499.00
ORD000317,2025-02-09,C1939,Monitor,5,12499.00
ORD000318,2025-02-01,C1848,Keyboard,5,1499.00
ORD000319,2025-04-14,C1586,USB Hub,5,899.00
ORD000320,2025-03-26,C1335,USB-C Cable,5,299.50
ORD000321,2025-03-01,C1696,Power Bank,2,1799.00
ORD000322,2025-02-16,C1920,Power Bank,5,1799.00
ORD000323,2025-01-29,C1464,Power Bank,2,1799.00
ORD000324,2025-08-01,C1467,USB Hub,5,899.00
ORD000325,2025-10-14,C1473,Wireless Mouse,3,799.00
ORD000326,2025-07-22,C1260,Wireless Mouse,1,799.00
ORD000327,2025-10-24,C1074,Laptop Stand,1,1199.00
ORD000328,2025-06-26,C1717,Headphones,1,3299.00
ORD000329,2025-01-31,C1957,USB Hub,1,899.00
ORD000330,2025-01-17,C1293,Power Bank,4,1799.00
ORD000331,2025-03-11,C1784,USB-C Cable,4,299.50
ORD000332,2025-07-15,C1459,Monitor,4,12499.00
ORD000333,2025-02-11,C1699,Headphones,5,3299.00
ORD000334,2025-12-01,C1880,USB-C Cable,3,299.50
ORD000335,2025-04-02,C1550,Keyboard,4,1499.00
ORD000336,2025-03-07,C1745,USB Hub,2,899.00
ORD000337,2025-01-12,C1305,Wireless Mouse,4,799.00
ORD000338,2025-08-06,C1544,USB Hub,4,899.00
ORD000339,2025-05-07,C1471,Laptop Stand,3,1199.00
ORD000340,2025-05-22,C1193,USB-C Cable,1,299.50
ORD000341,2025-12-05,C1429,Wireless Mouse,5,799.00
ORD000342,2025-05-04,C1211,Wireless Mouse,1,799.00
ORD000343,2025-11-01,C1034,Keyboard,4,1499.00
ORD000344,2025-05-06,C1758,Wireless Mouse,1,799.00
ORD000345,2025-08-13,C1239,Headphones,5,3299.00
ORD000346,2025-01-29,C1143,Laptop Stand,5,1199.00
ORD000347,2025-04-30,C1835,Webcam,5,2499.00
ORD000348,2025-10-23,C1612,Monitor,3,12499.00
ORD000349,2025-06-04,C1897,Laptop Stand,2,1199.00
ORD000350,2025-04-24,C1423,USB Hub,3,899.00
ORD000351,2025-02-01,C1570,Webcam,5,2499.00
ORD000352,2025-11-17,C1695,USB-C Cable,4,299.50
ORD000353,2025-09-11,C1048,USB Hub,3,899.00
ORD000354,2025-09-26,C1326,Headphones,4,3299.00
ORD000355,2025-03-18,C1307,Headphones,4,3299.00
ORD000356,2025-10-03,C1484,USB-C Cable,2,299.50
